::ffff:87.236.176.76 - - [22/Dec/2022:11:17:38 +0000] "GET / HTTP/1.1" 302 28 "-" "Mozilla/5.0 (compatible; InternetMeasurement/1.0; +https://internet-measurement.com/)"
::ffff:49.224.243.107 - - [22/Dec/2022:19:05:31 +0000] "GET /login HTTP/1.1" 200 3017 "-" "Mozilla/5.0 (Linux; Android 10; VOG-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36"
::ffff:49.224.243.107 - - [22/Dec/2022:19:05:33 +0000] "GET /images/Garage%20Opener-logos_black.png HTTP/1.1" 200 77333 "https://gagpi.mywire.org:1051/login" "Mozilla/5.0 (Linux; Android 10; VOG-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36"
::ffff:49.224.243.107 - - [22/Dec/2022:19:05:34 +0000] "GET /favicon.ico HTTP/1.1" 200 2441 "https://gagpi.mywire.org:1051/login" "Mozilla/5.0 (Linux; Android 10; VOG-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36"
::ffff:49.224.243.107 - - [22/Dec/2022:19:05:43 +0000] "POST /login HTTP/1.1" 302 54 "https://gagpi.mywire.org:1051/login" "Mozilla/5.0 (Linux; Android 10; VOG-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36"
::ffff:49.224.243.107 - - [22/Dec/2022:19:05:44 +0000] "GET /home HTTP/1.1" 200 5223 "https://gagpi.mywire.org:1051/login" "Mozilla/5.0 (Linux; Android 10; VOG-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36"
::ffff:49.224.243.107 - - [22/Dec/2022:19:05:44 +0000] "GET /images/Garage%20Opener-logos_white.png HTTP/1.1" 200 82586 "https://gagpi.mywire.org:1051/home" "Mozilla/5.0 (Linux; Android 10; VOG-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36"
::ffff:49.224.243.107 - - [22/Dec/2022:19:05:45 +0000] "GET /status HTTP/1.1" 200 107 "https://gagpi.mywire.org:1051/home" "Mozilla/5.0 (Linux; Android 10; VOG-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36"
::ffff:49.224.243.107 - - [22/Dec/2022:19:05:46 +0000] "GET /status HTTP/1.1" 200 107 "https://gagpi.mywire.org:1051/home" "Mozilla/5.0 (Linux; Android 10; VOG-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36"
::ffff:49.224.243.107 - - [22/Dec/2022:19:05:46 +0000] "GET /favicon.ico HTTP/1.1" 200 2441 "https://gagpi.mywire.org:1051/home" "Mozilla/5.0 (Linux; Android 10; VOG-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36"
::ffff:49.224.243.107 - - [22/Dec/2022:19:05:46 +0000] "GET /status HTTP/1.1" 200 107 "https://gagpi.mywire.org:1051/home" "Mozilla/5.0 (Linux; Android 10; VOG-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36"
